Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Gallant,https://www.linkedin.com/in/chris-kocek-52217a9,"https://www.avgbasecamp.com/blog/gallant-is-regenerating-pets-quality-of-life#:~:text=Gallant%20launched%20its%20stem%20cell,then%20shipped%20to%20Gallant's%20lab.",,,,
Somewear,https://www.linkedin.com/in/jkubik,https://somewearlabs.com/,,,,
GatherAI,https://www.linkedin.com/in/sankalp-arora-autonomy,https://www.gather.ai/,,,,
Foxpass,https://www.linkedin.com/in/karthik-gooli-aa33a47,https://www.foxpass.com/,Seed,"Jan 31, 2019",,
Proxxi,https://ca.linkedin.com/in/campbellmacdonald,"https://www.awesense.com/ecosystem/proxxi/#:~:text=Proxxi%20Voltage%20protects%20industrial%20workers,close%20to%20an%20energized%20device.",Seed,"Oct 18, 2018",,
Actuate,https://za.linkedin.com/in/kevin-liebenberg-54144720,https://actuate.ai/,Series a,"Jul 7, 2021",,
Jiffy,https://www.linkedin.com/in/kris-subramanian-94575215,https://jiffyondemand.com/,,"Jul 7, 2021",,
Printify,https://www.linkedin.com/in/berdigans,https://printify.com/,,"Jul 7, 2021",,
Alcove,https://www.linkedin.com/in/mariana-garza,https://alcoverooms.com/,Seed,"Jan 1, 2024",,
Tone,https://www.linkedin.com/in/gemma-toner,https://www.attentive.com/blog/attentive-acquires-conversational-sms-company-tone,Seed,"Oct 6, 2020",,
Edify,https://www.linkedin.com/in/cameronweeks,"https://www.linkedin.com/products/edifycx-edify-cx/#:~:text=Our%20complete%20cloud%20contact%20center,ever%20starting%20the%20conversation%20over.",https://www.crunchbase.com/organization/edify-6b77,,,
Mobot,https://www.linkedin.com/in/edenfull,"https://thectoclub.com/tools/mobot-review/#:~:text=Mobot%20is%20a%20software%20tool,process%20by%20automating%20repetitive%20tasks.",,,,
geologie,https://www.linkedin.com/in/skaff,https://geologie.com/?srsltid=AfmBOorYP6cH0QX4b_loLWryp3EpTUi1_JNn1Eo779ya-SD7eHhQY-OI,Seed,"Feb 20, 2022",,
Cell Vault,https://www.linkedin.com/in/jordanwbryant,"https://headstrong.org/cell-vault/#:~:text=Cell%20Vault%20banks%20t%2Dcells,cells%20to%20fight%20their%20cancer.",,"Feb 20, 2022",,
Alltrue,https://www.linkedin.com/in/mattryanrich,https://alltrue.com/,,"Feb 20, 2022",,
Forward,https://www.linkedin.com/in/adrianaoun,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7720711/,https://news.crunchbase.com/health-wellness-biotech/access-to-mental-health-startups-tackle-sectors-complexities-as-investors-go-all-in/,,,
Lime,https://www.linkedin.com/in/wayne-ting-a877405a,https://www.li.me/,Series b,"Nov 5, 2021",,
Vetted,https://www.linkedin.com/in/michael-hahn-5568784,https://chromewebstore.google.com/detail/vetted-ai-your-shopping-a/cjmfiochlaffhnellbhffgnjocahinnh,,"Nov 5, 2021",,
RxDefine,https://www.linkedin.com/in/ahmed-elsayyad-36996539,https://twitter.com/rxdefine,,"Nov 5, 2021",,
oooh,https://www.linkedin.com/in/pacoviciana/es,https://disneyparksblog.com/disney-experiences/24-oooh-worthy-things-at-disney-experiences-in-2024/,,"Nov 5, 2021",,
Daily Doctor,https://uk.linkedin.com/in/jeremy-harris-84a84a35,https://www.mydailydoctor.com/,https://www.crunchbase.com/organization/airx-health,,,
Vise,https://www.linkedin.com/in/samir-vasavada-160865ab,https://vise.com/,Seed,"May 18, 2021",,
