Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Zola,https://www.linkedin.com/in/shanlynma,https://www.zola.com/,Series a,"May 22, 2020",,
Check,https://co.linkedin.com/in/mariana-s%C3%A1nchez-56205aa9,https://www.bankofamerica.com/online-banking/ebills-faqs/,https://www.crunchbase.com/organization/billpay-2,,,
CloudKitchens,https://www.linkedin.com/in/rosanagambino,https://cloudkitchens.com/kitchen-rentals/,https://www.crunchbase.com/acquisition/cloudkitchens-acquires-foodstars-79e5--da388282,,,
Doximity,https://www.linkedin.com/in/jtangney,https://www.doximity.com/,Series a,"Sep 1, 2019",,
Evernote,https://www.linkedin.com/in/amir-behrooz-78553514,https://evernote.com/,Seed,"Nov 9, 2014",,
Faire,https://www.linkedin.com/in/max-rhodes,https://www.faire.com/,Seed,"Sep 27, 2023",,
Houzz,https://www.linkedin.com/in/adi-tatarko-38296823,https://www.houzz.com/,Series a,"Jan 3, 2021",,
JasperSoft,https://www.linkedin.com/in/daverogenmoser,http://www.jaspersoft.com/products/jaspersoft-commercial,Series a,"Jul 14, 2011",,
Lending Club,https://www.linkedin.com/in/scottsanborn,https://www.lendingclub.com/institutional-investing/marketplace-lending,Series c,"Apr 9, 2017",,
Metromile,https://www.linkedin.com/in/danrpreston,https://www.metromile.com/,Series a,"Feb 10, 2021",,
MuleSoft,https://www.linkedin.com/in/sarablakemcdaniel,https://blogs.mulesoft.com/learn-apis/api-led-connectivity/,https://www.crunchbase.com/organization/mulesoft/company_overview/overview_timeline,,,
NexTag,https://in.linkedin.com/in/anupampk,https://www.nextag.ca/,Series b,"Jan 1, 2019",,
Optimizely,https://www.linkedin.com/in/dsiroker,https://www.optimizely.com/products/web-experimentation/,Seed,"Jun 18, 2019",,
Practice Fusion,https://www.linkedin.com/in/ryanhoward,https://www.practicefusion.com/,Series a,"Nov 9, 2016",,
RelateIQ,https://www.linkedin.com/in/sehikian,https://www.appvizer.es/relacion-cliente/software-crm/relateiq,Seed,"Mar 25, 2014",,
Sonatype,https://www.linkedin.com/in/brianefox,https://www.sonatype.com/solutions/software-developers,Series a,"Sep 7, 2018",,
Strava,https://www.linkedin.com/in/mtkhorvath,https://www.strava.com/,Series a,"Nov 17, 2020",,
Superhuman,https://www.linkedin.com/in/rahulvohra,https://superhuman.com/,Seed,"Aug 4, 2021",,
Upwork,https://www.linkedin.com/in/haydenlbrown,https://www.upwork.com/,Series a,"Jan 1, 2017",,
