Startup,Crunchbase URL,Raised to Date,Date of Latest Funding
Citadel,https://es.wikipedia.org/wiki/Citadel_LLC,,
Clever,https://www.crunchbase.com/organization/clever,Seed,"Dec 16, 2014"
ClickHouse,https://www.crunchbase.com/organization/clickhouse,Series a,"Dec 6, 2022"
CloudBees,https://www.crunchbase.com/organization/cloudbees,Series a,"Dec 9, 2021"
Comprehend,https://dictionary.cambridge.org/es/diccionario/ingles/comprehend,,
Confluera,https://www.crunchbase.com/organization/confluera,Seed,"May 19, 2020"
D2G Oncology,https://www.crunchbase.com/organization/d2g-oncology,,
DataFleets,https://www.crunchbase.com/organization/datafleets,Seed,Seed
Datorama,https://www.crunchbase.com/organization/datorama,Series a,"Sep 12, 2016"
Datos IO,https://www.crunchbase.com/organization/datos-io,Seed,"May 10, 2017"
Datrium,https://www.crunchbase.com/organization/datrium,Seed,"Sep 13, 2018"
Daybreak,https://es.wikipedia.org/wiki/Daybreak_(serie_de_televisi%C3%B3n),,
Delphix,https://www.crunchbase.com/organization/delphix,Series a,"Oct 11, 2021"
Descope,https://www.crunchbase.com/organization/descope,Seed,Seed
Double Click,https://es.wikipedia.org/wiki/DoubleClick,,
