Startup,LinkedIn,Website,Raised to Date,Date of latest funding
Sundae,https://es.linkedin.com/in/lucianacaletti,https://sundae.com/,Seed,"Jul 20, 2021"
Tive,https://www.linkedin.com/in/komoni,https://www.tive.com/blog/what-is-supply-chain-visibility-all-your-questions-answered,Seed,"Aug 18, 2022"
Turntide Technologies,https://www.linkedin.com/in/mike-karim-9b3a0aa,https://turntide.com/,https://www.crunchbase.com/organization/software-motor-company/signals_and_news,
Trunk Tools,https://www.linkedin.com/in/sarah-buchner,"https://proptechconnect.com/trunk-tools-raises-20m-to-develop-their-ai-platform-for-the-construction-industry/#:~:text=Trunk%20Tools%20says%20its%20AI,time%20and%20millions%20of%20dollars.",Seed,"Aug 20, 2024"
Taft,https://www.linkedin.com/in/kory-stevens-97b97a46,https://taftclothing.com/?srsltid=AfmBOorU-WdnDryH9HW7qCypvdjKs_WCcpriTe8hTFiYlrCoyHykwuTK,https://www.crunchbase.com/lists/shoes/be7683b7-7b74-47c5-b91e-1028d191f600/organization.companies,
UNTUCKit,https://www.linkedin.com/in/chris-riccobono-25b8821b,https://www.untuckit.com/,Series a,"Jun 3, 2024"
Urbint,https://www.linkedin.com/in/corey-capasso-59260014,https://www.urbint.com/,Series a,"Aug 24, 2021"
VTS,https://www.linkedin.com/in/nicholasromito,https://www.vts.com/,Seed,"Sep 6, 2022"
Wildcat Discovery Technologies,https://www.linkedin.com/in/mark-gresser-2918586,https://www.wildcatdiscovery.com/,Series c,"Jul 13, 2022"
Wheelhouse,https://www.linkedin.com/in/andrewkitchell,https://www.usewheelhouse.com/,Seed,"Apr 20, 2022"
WiredScore,https://www.linkedin.com/in/abarendrecht,https://wiredscore.com/certify-a-building/wiredscore/,Series a,"Jun 29, 2022"
Wreno,https://www.linkedin.com/in/charlottejingweischell,https://wreno.io/,Seed,"Aug 31, 2022"
