Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Speckle,https://uk.linkedin.com/in/dimitrie,https://speckle.systems/,https://www.crunchbase.com/funding_round/speckle-ddda-pre-seed--648f0926,,,
Sweepr,https://fr.linkedin.com/in/wearecloudrachel,https://sweepr.com/,Seed,"Nov 16, 2023",,
Symplicity Foods,https://uk.linkedin.com/in/alan-wogan-488a95233,https://symplicityfoods.com/,https://www.crunchbase.com/organization/rollin-n-bowlin,,,
TeachKloud,https://ie.linkedin.com/in/wendyoke,https://teachkloud.com/features/risk-assessment-software/,,,,
TechTree,https://uk.linkedin.com/in/paweltomczuk,https://www.techtree.dev/,Pre-seed,"Jul 1, 2021",,
Thimble,https://www.linkedin.com/in/jaybregman,https://www.thimble.com/,https://www.crunchbase.com/organization/verifly-insurance-services,,,
ToDesktop,https://ie.linkedin.com/in/davejeffery,https://www.todesktop.com/,Seed,"Apr 1, 2020",,
Tracworx,https://ie.linkedin.com/in/eoin-obrien,https://www.tracworx.ai/,,"Apr 1, 2020",,
Travelnest,https://uk.linkedin.com/in/douglasstephenson1,https://travelnest.com/,Seed,"Dec 18, 2020",,
Unleash,https://hu.linkedin.com/in/marccoleman,https://www.getunleash.io/,Series a,Series A,,
Weld,https://www.linkedin.com/in/krishnakumar-raman-38a67820,"https://www.moderndatastack.xyz/company/weld#:~:text=Weld%20allows%20users%20to%20sync,top%20of%20the%20data%20warehouse.",https://about.crunchbase.com/blog/modern-data-stack-real-time-transactional-integration/,,,
Workvivo,https://ie.linkedin.com/in/john-goulding,https://www.workvivo.com/,Series a,"Jun 28, 2022",,
