Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Mighty,https://www.linkedin.com/in/schwadron,https://www.mighty.com/plaintiff-funding,https://news.crunchbase.com/health-wellness-biotech/big-pharma-startups-partnerships/,,,
Minibar Delivery,https://www.linkedin.com/in/andrewslindsey,https://minibardelivery.com/,Seed,"Aug 15, 2017",,
MoneyMade,https://www.linkedin.com/in/richardmcbeath,https://moneymade.io/,Seed,"Jun 29, 2021",,
Monument,https://www.linkedin.com/in/michael-russell-a8ba544,"https://www.everydayhealth.com/emotional-health/monument-review/#:~:text=Monument%20is%20an%20online%20platform,you%20accomplish%20your%20treatment%20goals.&text=Everyday%20Health%20independently%20vets%20all%20recommended%20products.",https://news.crunchbase.com/startups/serial-entrepreneur-mike-russell-taps-into-own-struggle-with-alcoholism-for-newest-startup/,,,
Morty,https://www.linkedin.com/in/noraapsel,https://www.morty.com/,Seed,"Jul 14, 2021",,
Mozio,https://in.linkedin.com/in/sherul-porwal-b542a05,https://www.mozio.com/,https://www.crunchbase.com/organization/ita-software/company_overview/overview_timeline,,,
North,https://fr.linkedin.com/in/cyrus-north-55619a25/en,https://www.north.cloud/,https://news.crunchbase.com/y-finance-crosspost/industrial-automation-startups-vc-investment/,,,
Ocean Freight Exchange,https://www.linkedin.com/in/john-hahn-ocean,https://www.theofe.com/,Seed,"Jan 7, 2021",,
OpenSpace,https://www.linkedin.com/in/jeevan,https://www.openspace.ai/,https://www.crunchbase.com/funding_round/openspace-ai-series-d--8d89137d,,,
Optiversal,https://www.linkedin.com/in/lucastieleman,https://www.optiversal.com/,Seed,Seed,,
Pack,https://es.linkedin.com/in/giacomo-gentili/it,https://packdigital.com/,https://www.crunchbase.com/funding_round/pack-digital-seed--8c2bd613,,,
Paintzen,https://www.linkedin.com/in/michael-russell-a8ba544,https://www.paintzen.com/,Seed,"Mar 28, 2016",,
Pair Eyewear,https://www.linkedin.com/in/sophia-edelstein-906298a4,https://paireyewear.com/,https://news.crunchbase.com/fintech-ecommerce/pair-eyewear-lands-12m-series-a-with-vision-of-more-customizable-frame-offerings/,,,
PERCH,https://www.linkedin.com/in/jacobrothman,https://perchinteractive.com/,https://www.crunchbase.com/organization/perch-interactive/company_overview/overview_timeline,,,
PlaceHolder,https://www.linkedin.com/in/sho-shibuya-5a336956,https://workspace.google.com/marketplace/app/placeholder/593560314556?hl=es,Seed,"Nov 12, 2020",,
Point,https://www.linkedin.com/in/eddie-lim,https://point.com/,Seed,"May 30, 2024",,
Poshly,https://www.linkedin.com/in/doreenbloch,https://cew.org/beauty_news/poshly-launches-real-time-access-to-consumer-insights/,Seed,"Jan 1, 2016",,
Prevu,https://www.linkedin.com/in/thomaskutzman,https://www.prevu.com/,Seed,"Dec 15, 2023",,
RareCircles,https://ca.linkedin.com/in/clovertang,https://www.rarecircles.com/,Seed,Seed,,
Renoviso,https://www.linkedin.com/in/ehorndahl,https://renoviso.com/reqp-1-reqr/,Seed,"Jun 21, 2018",,
The Sandbox,https://fr.linkedin.com/in/borgetsebastien,https://www.sandbox.game/en/,https://www.crunchbase.com/organization/the-sandbox-metaverse-accelerator-program/signals_and_news,,,
Swoops,https://www.linkedin.com/in/amirghorbani,https://twitter.com/playswoops?lang=es,Seed,Seed,,
Table22,https://www.linkedin.com/in/swbernstein,https://table22.com/,https://www.crunchbase.com/organization/table22,,,
